,continent,date,new_vaccinations
578,Africa,2021-09-07,64997.0
579,Africa,2021-09-08,215793.0
580,Africa,2021-09-09,445285.0
581,Africa,2021-09-10,854773.0
582,Africa,2021-09-11,544814.0
583,Africa,2021-09-12,57477.0
584,Africa,2021-09-13,253376.0
585,Africa,2021-09-14,367240.0
586,Africa,2021-09-15,442996.0
587,Africa,2021-09-16,1509013.0
588,Africa,2021-09-17,131924.0
589,Africa,2021-09-18,96440.0
590,Africa,2021-09-19,297345.0
591,Africa,2021-09-20,275673.0
592,Africa,2021-09-21,252986.0
593,Africa,2021-09-22,408584.0
594,Africa,2021-09-23,550751.0
595,Africa,2021-09-24,241912.0
596,Africa,2021-09-25,169627.0
597,Africa,2021-09-26,84798.0
598,Africa,2021-09-27,243150.0
599,Africa,2021-09-28,189852.0
600,Africa,2021-09-29,154131.0
601,Africa,2021-09-30,195776.0
602,Africa,2021-10-01,187355.0
603,Africa,2021-10-02,163535.0
604,Africa,2021-10-03,97031.0
605,Africa,2021-10-04,125013.0
606,Africa,2021-10-05,187371.0
607,Africa,2021-10-06,542812.0
608,Africa,2021-10-07,215254.0
609,Africa,2021-10-08,108906.0
610,Africa,2021-10-09,85026.0
611,Africa,2021-10-10,59734.0
612,Africa,2021-10-11,76790.0
613,Africa,2021-10-12,85945.0
614,Africa,2021-10-13,132134.0
615,Africa,2021-10-14,126156.0
616,Africa,2021-10-15,274939.0
617,Africa,2021-10-16,88009.0
618,Africa,2021-10-17,83576.0
619,Africa,2021-10-18,160463.0
620,Africa,2021-10-19,137689.0
621,Africa,2021-10-20,175914.0
622,Africa,2021-10-21,124856.0
623,Africa,2021-10-22,170637.0
624,Africa,2021-10-23,76376.0
625,Africa,2021-10-24,48842.0
626,Africa,2021-10-25,211214.0
627,Africa,2021-10-26,109360.0
628,Africa,2021-10-27,230089.0
629,Africa,2021-10-28,188844.0
630,Africa,2021-10-29,220978.0
631,Africa,2021-10-30,185383.0
632,Africa,2021-10-31,69794.0
633,Africa,2021-11-01,85126.0
634,Africa,2021-11-02,71483.0
635,Africa,2021-11-03,261910.0
636,Africa,2021-11-04,329437.0
637,Africa,2021-11-05,220447.0
638,Africa,2021-11-06,66063.0
639,Africa,2021-11-07,132662.0
640,Africa,2021-11-08,181432.0
641,Africa,2021-11-09,275549.0
642,Africa,2021-11-10,202938.0
643,Africa,2021-11-11,375092.0
644,Africa,2021-11-12,74641.0
645,Africa,2021-11-13,147905.0
646,Africa,2021-11-14,77732.0
647,Africa,2021-11-15,280559.0
648,Africa,2021-11-16,222050.0
649,Africa,2021-11-17,218708.0
650,Africa,2021-11-18,230063.0
651,Africa,2021-11-19,148474.0
652,Africa,2021-11-20,192987.0
653,Africa,2021-11-21,182335.0
